Tracking project build/test results with MY_ASM=builtin MY_LD=builtin

| Project | x86 | i686 | arm | riscv | Notes |
| tinyexpr | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sqlite  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| genann  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| munit   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| llhttp  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| gumbo   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| md4c    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| libtommath | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| flatcc  | PASS | PASS | PASS | PASS | Fixed by pre-store register conflict fix (same as libharu) |
| mbedtls | PASS | PASS | PASS | PASS | Fixed i686 asm: added AES-NI instructions; fixed SUB/SBB misencoding as byte ops (mnemonic_size_suffix bug) |
| giflib  | PASS | PASS | PASS | PASS | i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| arithcode | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tweetnacl | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| kann    | PASS | PASS | FAIL (arm NEON) | PASS | Fixed: added MXCSR macros/functions to xmmintrin.h, added stmxcsr/ldmxcsr to i686 asm |
| libucl  | PASS | PASS | PASS | PASS | Fixed by pre-store register conflict fix (same as libharu) |
| mpack   | PASS | PASS | PASS | PASS | Fixed ARM: FP param spill clobbered GP arg regs (x0) in prologue |
| argtable3 | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| cwalk   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| linenoise | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| log.c   | PASS | PASS | PASS | PASS | Fixed i686: missing libgcc.a (demand-driven archive extraction), TLS relocs, R_386_TLS_LE/TPOFF32 formula swap (exit crash) |
| picohttpparser | PASS | PASS | PASS | PASS | Fixed ARM: stack-passed params in callee prologue clobbered x0 (emit_store_stack_params used x0 as scratch) |
| http-parser | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tiny-regex-c | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| binn    | PASS | PASS | PASS | PASS | Fixed ARM: mixed float/int param clobbering (pre-store promoted GP params) |
| coremark | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tinycthread | PASS | FAIL (i686 thread-exit) | FAIL (arm thread-exit) | FAIL (riscv thread-exit) | Fixed x86: .tbss-only TLS missing PT_TLS. i686/arm/riscv fail on thread-exit (pthread_exit static linking issue, separate bug) |
| dlmalloc | PASS | TODO | TODO | TODO | Passes x86 |
| c4 | PASS | TODO | TODO | TODO | Passes x86 |
| shoco | PASS | TODO | TODO | TODO | Passes x86 |
| ncompress | PASS | TODO | TODO | TODO | Passes x86 |
| lzf | PASS | TODO | TODO | TODO | Passes x86 |
| whetstone | PASS | TODO | TODO | TODO | Passes x86 |
| dhrystone | PASS | TODO | TODO | TODO | Passes x86 |
| tdb     | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| jansson | PASS | PASS | PASS | PASS | Fixed i686 asm: SymbolDiff (.long A-B) addend correction for PIC jump tables; R_386_GOTPC for _GLOBAL_OFFSET_TABLE_; linker COMDAT dedup |
| cc65    | PASS | TODO | PASS | TODO | Fixed ARM asm: preserve original case for condition code/barrier symbol names (CS was lowercased to cs); x86 now passes |
| brieflz | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| nettle  | PASS | TODO | TODO | TODO | Fixed x86 asm: added rdsspq/rdsspd (CET shadow stack) instructions; fixed escape_string \0 -> \000 to prevent octal escape consuming adjacent digits |
| tinn    | PASS | TODO | TODO | TODO | Passes x86 |
| tinycbor | PASS | TODO | TODO | TODO | Passes x86 |
| brotli  | PASS | PASS | SKIP | PASS | i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes; no arm check script; riscv now passes |
| msgpack-c | PASS | TODO | TODO | TODO | Passes x86 |
| Lua     | PASS | TODO | TODO | TODO | Passes x86 |
| samurai | PASS | TODO | TODO | TODO | Passes x86 |
| cmocka  | PASS | TODO | TODO | TODO | Passes x86 |
| gawk    | PASS | TODO | TODO | TODO | Passes x86 |
| mawk    | PASS | TODO | TODO | TODO | Passes x86 |
| rc      | PASS | TODO | TODO | TODO | Passes x86 |
| s7      | PASS | TODO | TODO | TODO | Passes x86 |
| wolfssl | PASS | TODO | TODO | TODO | Passes x86 |
| darkhttpd | PASS | PASS | PASS | PASS | Fixed i686: set_permissions on /dev/null was hard-erroring (now ignores errors like other backends) |
| libconfig | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| libcsv  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| nghttp2 | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| discount | PASS | PASS | PASS | PASS | Fixed x86 linker: local symbol collision (local STB_LOCAL symbols were resolved to global symbols with same name from other object files) |
| gdbm    | PASS | PASS | PASS | PASS | Fixed RISC-V linker: added _Unwind/gcc_personality to linker_defined list + fixed .so search in linker scripts |
| xz_liblzma | PASS | PASS | PASS | PASS | All architectures now pass (CLMUL CRC and other issues fixed by subsequent compiler improvements) |
| libharu | PASS | PASS | PASS | PASS | Fixed ARM segfault: pre-store optimization register conflict in prologue codegen (param dest registers could collide when regalloc reused callee-saved regs) |
| map     | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sort.h  | PASS | TODO | TODO | TODO | Passes x86 |
| fastlz  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| huf     | PASS | TODO | TODO | TODO | Passes x86 |
| stb_ds  | PASS | TODO | TODO | TODO | Passes x86 |
| microtar | PASS | TODO | TODO | TODO | Passes x86 |
| minilzo | PASS | TODO | TODO | TODO | Passes x86 |
| qoi     | PASS | TODO | TODO | TODO | Passes x86 |
| stb_truetype | PASS | TODO | TODO | TODO | Passes x86 |
| pl_mpeg | PASS | TODO | TODO | TODO | Passes x86 |
| tree    | PASS | TODO | TODO | TODO | Passes x86 |
| jo_gif  | PASS | TODO | TODO | TODO | Passes x86 |
| quicklz | PASS | TODO | TODO | TODO | Passes x86 |
| lemon   | PASS | TODO | TODO | TODO | Passes x86 |
| incbin  | PASS | PASS | PASS | PASS | Added .incbin directive to x86/i686/ARM assemblers; fixed .int directive recognition; fixed i686 SymbolDiff resolution |
| uzlib   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| spng    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| protobuf-c | PASS | TODO | TODO | TODO | Passes x86 |
| cdb     | PASS | TODO | TODO | TODO | Passes x86 |
| FFmpeg  | PASS | TODO | PASS | TODO | Compiles all libraries + ffmpeg/ffprobe binaries; all 7331 checkasm tests pass on x86 and ARM (standalone asm+ld) |
| scc     | PASS | PASS | PASS | PASS | Fixed: typeof treated as keyword in -std=c99 mode; now only keyword in GNU mode |
| nano    | PASS | TODO | TODO | TODO | Fixed: added INPUT() directive support to linker script parser (libncurses.so is a linker script) |
| zlib    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| femtolisp | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| crush   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| ini     | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| check   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tree-sitter | PASS | PASS | TODO | TODO | i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes; x86 now passes |
| miniaudio | PASS | PASS | FAIL (ARM NEON parse) | PASS | Fixed x86/i686 asm: added rsqrtss/rcpss instructions |
| civetweb | PASS | TODO | TODO | TODO | Passes x86 |
| lzw     | PASS | TODO | TODO | TODO | Passes x86 |
| lzo     | PASS | TODO | TODO | TODO | Passes x86 |
| lizard  | PASS | TODO | TODO | TODO | Passes x86 |
| rans    | PASS | TODO | TODO | TODO | Passes x86 |
| wflz    | PASS | TODO | TODO | TODO | Passes x86 |
| stc     | PASS | TODO | TODO | TODO | Passes x86 |
| stretchy_buffer | PASS | TODO | TODO | TODO | Passes x86 |
| vec     | PASS | TODO | TODO | TODO | Passes x86 |
| uthash  | PASS | TODO | TODO | TODO | Passes x86 |
| rax     | PASS | TODO | TODO | TODO | Passes x86 |
| par     | PASS | TODO | TODO | TODO | Passes x86 |
| dr_libs | PASS | PASS | PASS | PASS | Fixed by pre-store register conflict fix (same as libharu) |
| fenster | PASS | PASS | PASS | PASS | All architectures pass |
| microui | PASS | TODO | TODO | TODO | Passes x86 |
| nanovg  | PASS | TODO | TODO | TODO | Passes x86 |
| tinybasic | PASS | PASS | PASS | PASS | All architectures pass |
| tinyobjloader-c | PASS | TODO | TODO | TODO | Passes x86 |
| minmea  | PASS | PASS | PASS | PASS | All architectures pass |
| lwrb    | PASS | PASS | PASS | PASS | All architectures pass |
| olive.c | PASS | PASS | PASS | PASS | All architectures pass |
| 2048.c  | PASS | PASS | PASS | PASS | All architectures pass |
| tinflate | PASS | PASS | PASS | PASS | All architectures pass |
| minizip | PASS | TODO | TODO | TODO | Passes x86 |
| himeno  | PASS | PASS | PASS | PASS | All architectures pass |
| nbench  | PASS | PASS | PASS | PASS | All architectures pass |
| sokol   | PASS | TODO | TODO | TODO | Passes x86 |
| libjpeg_IJG_original | PASS | PASS | PASS | PASS | All architectures pass |
| libiconv | PASS | TODO | TODO | TODO | Passes x86 |
| kilo    | PASS | PASS | PASS | PASS | All architectures pass |
| nanopb  | PASS | TODO | TODO | TODO | Passes x86 |
| asn1c   | PASS | TODO | TODO | TODO | Passes x86 |
| pkgconf | PASS | PASS | PASS | PASS | All architectures pass |
| bison   | PASS | TODO | TODO | TODO | Passes x86 |
| less    | PASS | PASS | PASS | PASS | All architectures pass |
| joe     | PASS | PASS | PASS | PASS | All architectures pass |
| picocom | PASS | PASS | PASS | PASS | All architectures pass |
| mini_httpd | PASS | PASS | PASS | PASS | All architectures pass |
| thttpd  | PASS | PASS | PASS | PASS | All architectures pass |
| peg_leg | PASS | PASS | PASS | PASS | All architectures pass |
| cfitsio | PASS | PASS | PASS | PASS | All architectures pass |
| cgltf   | PASS | PASS | PASS | PASS | All architectures pass |
| cello   | PASS | PASS | PASS | PASS | All architectures pass |
| greatest | PASS | TODO | TODO | TODO | Passes x86 |
| cNBT    | PASS | PASS | PASS | PASS | All architectures pass |
| chipmunk2d | PASS | TODO | TODO | TODO | Passes x86 |
| minunit | PASS | PASS | PASS | PASS | All architectures pass |
| json-parser | PASS | PASS | PASS | PASS | All architectures pass |
| gb_string | PASS | PASS | PASS | PASS | All architectures pass |
| embedded-cli | PASS | PASS | PASS | PASS | All architectures pass |
| FSE     | PASS | TODO | TODO | TODO | Passes x86 |
| c-algorithms | PASS | PASS | PASS | PASS | All architectures pass |
| c-ares  | PASS | PASS | PASS | PASS | All architectures pass |
| box2d-lite | PASS | TODO | TODO | TODO | Passes x86 |
| cproc   | PASS | TODO | TODO | TODO | Passes x86 |
| lacc    | PASS | PASS | PASS | PASS | All architectures pass |
| lcc     | PASS | TODO | TODO | TODO | Passes x86 |
| pcc     | PASS | TODO | TODO | TODO | Passes x86 |
| vbcc    | PASS | TODO | TODO | TODO | Passes x86 |
| speex_speexdsp | PASS | PASS | PASS | PASS | All architectures pass |
| lzfse   | PASS | PASS | PASS | PASS | All architectures pass |
| getopt_standalone | PASS | PASS | PASS | PASS | All architectures pass |
| finite-state-entropy | PASS | PASS | PASS | PASS | All architectures pass |
| pngcrush | PASS | TODO | TODO | TODO | Passes x86 |
| bc_GNU  | PASS | TODO | TODO | TODO | Passes x86 |
| toybox  | PASS | TODO | TODO | TODO | Passes x86 |
| zopfli  | PASS | TODO | TODO | TODO | Passes x86 |
| optparse | PASS | PASS | PASS | PASS | All architectures pass |
| dnsmasq | PASS | TODO | TODO | TODO | Passes x86 |
| mandoc  | PASS | PASS | PASS | PASS | All architectures pass |
| dropbear | PASS | TODO | TODO | TODO | Passes x86 |
| pigz    | PASS | TODO | TODO | TODO | Passes x86 |
| Chibi-Scheme | PASS | TODO | TODO | TODO | Fixed x86: shared lib linker now includes libgcc.a for __udivti3 etc.; check script needs ANSI strip fix |
| miniaudio | PASS | PASS | FAIL (arm NEON int32x4x2_t) | PASS | Fixed: added rsqrtss/rsqrtps/rcpss/rcpps/sqrtps/sqrtpd to x86+i686 assemblers |
| ini     | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| shapelib | PASS | PASS | PASS | PASS | All architectures pass |
| stc     | PASS | PASS | PASS | PASS | All architectures pass |
| libflac | PASS | PASS | FAIL (arm) | PASS | ARM fails (separate issue) |
| jbigkit | PASS | PASS | PASS | PASS | All architectures pass |
| minimp3 | PASS | PASS | PASS | PASS | Fixed ARM: added float32_t typedef + 16 float32 NEON intrinsics to arm_neon.h |
| libfastcdc | PASS | PASS | PASS | PASS | All architectures pass |
| sod     | PASS | PASS | PASS | PASS | All architectures pass |
| stretchy_buffer | PASS | PASS | PASS | PASS | All architectures pass |
| rans    | PASS | PASS | PASS | PASS | All architectures pass |
| wflz    | PASS | PASS | PASS | PASS | All architectures pass |
| lzw     | PASS | PASS | PASS | PASS | All architectures pass |
| vec     | PASS | PASS | PASS | PASS | All architectures pass |
| hdiffpatch | PASS | PASS | FAIL (ARM NEON vrev32q_u8) | PASS | Added SSSE3 _mm_alignr_epi8, SHA-NI intrinsics (sha256rnds2/msg1/msg2), BMI2 _bzhi_u64/_bzhi_u32, i686 xgetbv instruction |
| Icon    | PASS | TODO | TODO | TODO | Fixed x86: added section headers to linker executables (needed for strip command) |
| libmpg123 | PASS | TODO | TODO | TODO | Fixed x86 asm: added SSE/AVX cmp pseudo-ops (cmpnleps/vcmpnleps), vmovlhps, vmovddup, vmulss, vmovss, vpermilps, vextractf128, vcvtps2dq; fixed parser for constant+symbol displacement (32+maxmin_avx) |
| open62541 | PASS | TODO | TODO | TODO | Fixed x86: decimal literal type promotion (C11 6.4.4.1) + bitfield static initializer compound path overlap |
| Janet   | PASS | TODO | TODO | TODO | Fixed x86 linker: emit .gnu.version/.gnu.version_r sections for GNU symbol versioning (realpath@@GLIBC_2.3 resolved to old GLIBC_2.2.5 without version info) |
| MuJS    | PASS | TODO | TODO | TODO | Passes x86 |
| Gravity | PASS | TODO | TODO | TODO | Passes x86 |
| whitedb | PASS | TODO | TODO | TODO | Passes x86 |
| STREAM  | PASS | TODO | TODO | TODO | Passes x86 |
| JerryScript | PASS | TODO | TODO | TODO | Fixed x86: peephole frame_compact NOP'd struct param stores (range-based overlap check) |
| openssh | PASS | PASS | N/A | N/A | Fixed x86/i686 asm: added 16-bit (w-suffix) cmov instructions (cmovnew etc.) with 0x66 operand-size prefix |
| wasm-micro-runtime | PASS | FAIL (codegen bug) | PASS | PASS | Fixed ARM: # comment handling in .s files; Added i686 loop instruction; i686 has runtime codegen bug (wasm loader fails) |
| lynx    | PASS | TODO | TODO | TODO | Fixed: added incompatible pointer subtraction type check (C11 6.5.6p3) so configure correctly detects dirent64 compatibility |
| libtomcrypt | PASS | PASS | PASS | PASS | Fixed RISC-V: narrow pass incorrectly eliminated AND zero-extension mask (uint32 & 0xFFFFFFFF) when narrowing I64→U32, causing sign-extended addw results to leak |
| libpng  | PASS | PASS | PASS | PASS | Fixed: -Wl flag splitting broke -soname/-rpath multi-arg flags; inliner now avoids bloating recursive function frames |
| s2n-tls | PASS* | TODO | TODO | TODO | x86: 281/282 tests pass (1 codegen segfault in s2n_tls13_key_schedule_test). Fixed: COMMON symbol archive extraction, decimal constant type promotion (C11 6.4.4.1), nested designated initializer pointer placement |
| crun    | PASS | PASS | PASS | PASS | Fixed i686: DT_TEXTREL for WEAK dynamic data symbols (environ) referenced by R_386_32; riscv now passes |
| lame    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sdcc    | PASS (build script fix) | TODO | TODO | TODO | Build script fix: repo has stale RISC-V .o files; distclean bug (clean.mk lists "pic" not "pic14") leaves them; need find . -name "*.o" -delete before build |
| blosc   | PASS | PASS | PASS | PASS | Fixed: weak undefined symbols in shared library .dynsym were emitted as STB_GLOBAL instead of STB_WEAK, causing runtime "undefined symbol" errors for ZSTD_trace_*; also fixed x86/i686 asm jmp/jcc @PLT suffix not stripped (baked @PLT into symbol name instead of using R_X86_64_PLT32/R_386_PLT32) |
| TinyScheme | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| MicroPython | PASS | TODO | PASS | TODO | Fixed x86: implemented --gc-sections in linker; ARM: ported --gc-sections to ARM linker (same BFS reachability algorithm) |
| mksh    | PASS | TODO | TODO | TODO | Fixed: static init array-to-pointer decay on struct array element field (arr[N].text); get_struct_layout_of_expr now handles ArraySubscript |
| binutils | PASS | TODO | TODO | TODO | Fixed: (1) preprocessor #define inside #ifdef leaked in included files during multi-line accumulation, (2) anonymous enum constants not registered in function definition return types, (3) linker as-needed behavior for shared libraries |
| CPython | PASS | TODO | TODO | TODO | Fixed: __STRICT_ANSI__ for -std=c11, -Xlinker flag, -export-dynamic, shared lib R_X86_64_64 dynamic relocs for external symbols, compound literal address-of in static struct array initializer |
| curl    | PASS | TODO | TODO | TODO | Fixed: reject implicit pointer<->float conversions (C11 6.5.16.1p1); cmake strerror_r detection passed both POSIX and GLIBC tests |
| lexbor  | PASS | TODO | TODO | TODO | Fixed x86 shared lib linker: emit R_X86_64_64 dynamic relocs for named global symbols in data sections (function pointer tables); scale .gnu.hash bloom filter for large symbol tables |
| libressl | PASS (build script fix) | TODO | TODO | TODO | Build script fix: -DENABLE_ASM=OFF (s2n-bignum uses Intel syntax); fixed x86 asm pinsrw/pinsrd/pinsrb/pinsrq memory operand encoding |
| libtiff | PASS | TODO | TODO | TODO | Fixed x86: added section headers to shared library linker output (GNU ld needs section headers to link against .so files) |
| coreutils_GNU | PASS | PASS | PASS | PASS | x86/i686 pass out of the box; ARM fixed: strip_c_comments was not string-aware (/* inside .ascii strings); RISC-V fixed: demand-driven archive extraction for inline .a files |
| mimalloc | PASS | PASS | PASS | PASS | Fixed: (1) x86/i686 asm @PLT suffix leaked into ELF symbol names (strip in add_relocation), (2) RISC-V linker strong-over-strong symbol overwrite (first definition wins) |
| gforth  | PASS | TODO | TODO | TODO | Fixed: (1) preprocessor #line directives consumed during multi-line accumulation in included files, (2) cast-wrapped &&label in static initializers (e.g. (Label)&&I_noop) no longer zero-initialized |
| wasm3   | PASS | TODO | TODO | TODO | Fixed: (1) x86 tail call optimization peephole pass for threaded interpreter dispatch, (2) 3D function pointer array initializer inner stride bug in global_init, (3) tail call safety check for lea-of-local (dangling stack pointer) |
| openjpeg | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| zydis   | PASS | TODO | TODO | TODO | Fixed: self-referential static initializer with multi-dim array member subscripts (&FORMATTER.number_format[1][0].string_data); compound init for multi-dim arrays of structs with pointer fields |
| libfuse | PASS | TODO | TODO | TODO | Fixed: (1) __attribute__((symver("..."))) support across full pipeline (parser->AST->IR->codegen->assembler->linker), (2) jmp @PLT suffix handling (strip suffix, use R_X86_64_PLT32 relocation instead of creating literal symbol) |
| sed_GNU | PASS | TODO | TODO | TODO | Fixed: (1) __builtin_mul_overflow same-size signed-to-unsigned overflow detection, (2) _Static_assert now rejects non-constant variable references, (3) added missing __SCHAR_WIDTH__ and other GCC WIDTH macros |
| minimap2 | PASS | TODO | TODO | TODO | Fixed: added missing SSE intrinsics: _mm_cmplt_epi8/_mm_cmplt_epi32 (emmintrin.h), _mm_max_epi8/_mm_min_epi8 + many SSE4.1 intrinsics (smmintrin.h) |
| ECL     | PASS | TODO | TODO | TODO | Fixed x86/i686 asm: jmp/jcc @PLT labels now strip suffix and use PLT32 relocation instead of PC32 with @PLT in symbol name |
| nelua   | PASS | TODO | TODO | TODO | Fixed: added bundled x86intrin.h (rdtsc/rdtscp/bsf/bsr/bswap/rotate intrinsics) to prevent fallthrough to GCC's vector-type-heavy header |
| SDL2    | PASS | TODO | TODO | TODO | Fixed: (1) complete MMX intrinsics in mmintrin.h, (2) _mm_packs_epi16 SSE2 intrinsic (packsswb128), (3) _mm_stream_ps in xmmintrin.h, (4) peephole optimizer incorrectly eliminating pushq/popq pairs across pushfq/popfq |
| s6      | PASS | TODO | TODO | TODO | Fixed x86: added IFUNC/IRELATIVE support to x86-64 static linker (IPLT stubs, IFUNC GOT, R_X86_64_IRELATIVE relocations); glibc memcpy/memset/strcmp are IFUNC symbols resolved at startup |
| libnl   | PASS | TODO | TODO | TODO | Fixed: (1) compound literal zero-fill for arrays with fewer initializers than elements (C11 6.7.9p21), (2) linker -Wl,-rpath -Wl,/path two-arg form parsing |
| FreeBSD_kernel | PASS | TODO | TODO | TODO | Passes x86 out of the box (builds contrib/bearssl component) |
| diffutils | PASS | TODO | TODO | TODO | Fixed: LDBL_MAX/MIN/EPSILON predefined macros had truncated decimal values causing rounding errors; added IEEE 754 round-to-nearest-even in decimal-to-f128 bigint conversion |
| privoxy | PASS | TODO | TODO | TODO | Fixed: preprocessor -E mode now outputs text even when #error directives encountered (matching GCC behavior); configure scripts grep preprocessed output ignoring exit code |
| libtasn1 | PASS | TODO | TODO | TODO | Passes x86 out of the box |
| Perl    | PASS | TODO | TODO | TODO | Fixed: (1) sub-int condition evaluation after narrow pass (upper register bits stale, while(uchar) never terminated), (2) anonymous struct pointer-array subtraction (re-resolving type spec generated different anon struct keys per declarator), (3) preprocessor #line directives used absolute paths causing Perl makedepend to add spurious inline recipe for util.o from vutil.c |
| iperf3  | PASS | PASS | PASS | PASS | Fixed: -pthread flag now defines _REENTRANT=1 (matching GCC/Clang); configure scripts use ax_pthread.m4 which checks for _REENTRANT |
| libgrapheme | PASS | TODO | TODO | TODO | Passes x86 out of the box (was previously failing, now fixed by other improvements) |
| h2o     | PASS | TODO | TODO | TODO | Passes x86 out of the box (was previously failing, now fixed by other improvements) |
| redis   | PASS | TODO | TODO | TODO | Fixed x86: added missing SSSE3 (hadd_epi32, etc.), AVX2 (cvtepi8_epi16, madd_epi16, etc.), and AVX-512 (add_epi32, xor_si512, extracti64x4, cvtepi8_epi16, madd_epi16, reduce_add_epi32, etc.) intrinsics to bundled headers |
| libseccomp | PASS | TODO | TODO | TODO | Passes x86 out of the box (was previously failing, now fixed by other improvements) |
| ldns    | PASS | TODO | TODO | TODO | Passes x86 out of the box (was previously failing, now fixed by other improvements) |
| io_uring_liburing | PASS | TODO | TODO | TODO | Passes x86 out of the box (was previously failing, now fixed by other improvements) |
| libexpat | PASS | TODO | TODO | TODO | Fixed x86: GOTPCREL codegen for external function address-of (PIE-compatible); linker GOTPCREL+PLT coexistence (dedicated GOT entry filled with PLT address) |
| criterion | PASS | TODO | TODO | TODO | Fixed: (1) x86 linker missing ld-linux-x86-64.so.2 in default lib search (for _r_debug), (2) shared lib linker exported LOCAL TLS symbols to .dynsym as GLOBAL UNDEFINED (GOT loop missing is_local filter), (3) assembler .fill directive silently ignored (emitted 0 bytes, broke boxfort trampoline addr slot) |
| radare2_portions | PASS | TODO | TODO | TODO | Passes x86 out of the box |
| libvorbis_libogg | PASS | TODO | TODO | TODO | Passes x86 out of the box |
| squashfuse | PASS | TODO | TODO | TODO | Fixed: implemented --whole-archive / --no-whole-archive in x86 shared library linker; archive members now unconditionally included when flag is active (libtool creates .so from .a convenience archives) |
